id,record_id,genre_id
73,1,1
74,1,2
78,2,1
79,2,2
80,4,1
81,4,2
1,5,1
2,5,2
3,6,1
4,6,2
5,7,1
6,7,2
7,8,9
8,8,10
9,9,1
10,9,2
13,10,5
11,10,9
12,10,11
14,11,12
15,12,13
17,13,7
16,13,13
18,14,1
19,14,2
20,15,13
21,16,14
22,17,1
23,17,2
24,18,9
25,18,10
26,18,15
27,19,4
28,20,4
29,21,6
30,22,6
31,23,6
32,24,4
33,25,3
34,26,9
35,26,10
36,26,11
37,27,16
38,28,2
39,28,4
40,29,13
41,30,13
42,30,14
43,31,1
44,32,1
45,33,1
46,34,1
47,35,1
48,36,1
49,37,3
50,38,6
51,39,2
52,40,6
53,41,1
54,42,3
55,42,15
56,43,1
57,43,2
58,43,4
59,44,4
60,44,5
61,45,1
62,45,2
64,46,7
63,46,8
66,47,7
65,47,8
67,48,2
68,49,3
69,50,3
70,51,13
71,52,17
72,53,6
75,54,1
76,54,2
77,55,6
